Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
236 ELM ST,Somerville ,MA,United States ,"0","6093964495","Kong Dog, 236, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,cafe,"42.3948298,-71.121685","0","0","0",0.00000000000000,0.00000000000000
310 BROADWAY,Somerville ,MA,United States ,"0","426575222","310, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",place,house,"42.39287110689791,-71.09354377368106","0","0","0",0.00000000000000,0.00000000000000
16 BEACON ST,Somerville ,MA,United States ,"0","89184286","Walgreens, 16, Beacon Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,pharmacy,"42.3747855,-71.10266251603522","0","0","0",0.00000000000000,0.00000000000000
404 BROADWAY,Somerville ,MA,United States ,"0","1112175803","404, Broadway, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.3966666875,-71.10251925","0","0","0",0.00000000000000,0.00000000000000
91 PROSPECT ST,Somerville ,MA,United States ,"0","29520686","91, Prospect Street, Wellington-Harrington, East Cambridge, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37574065,-71.09677575973339","0","0","0",0.00000000000000,0.00000000000000
185 WASHINGTON ST,Somerville ,MA,United States ,"0","1113559463","185, Washington Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.37986588888889,-71.09095677777778","0","0","0",0.00000000000000,0.00000000000000
101 HIGHLAND AVE,Somerville ,MA,United States ,"0","29537595","YMCA, 101, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3873497,-71.09918812121946","0","0","0",0.00000000000000,0.00000000000000
16 BEACON ST,Somerville ,MA,United States ,"0","89184286","Walgreens, 16, Beacon Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,pharmacy,"42.3747855,-71.10266251603522","0","0","0",0.00000000000000,0.00000000000000
285 HIGHLAND AVE,Somerville ,MA,United States ,"0","29633202","285, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.392297549999995,-71.11214723654459","0","0","0",0.00000000000000,0.00000000000000
185 BEACON ST,Somerville ,MA,United States ,"0","29529985","185,187, Beacon Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.38020925,-71.10837509785728","0","0","0",0.00000000000000,0.00000000000000
62 HIGHLAND AVE,Somerville ,MA,United States ,"0","29642461","62, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3855958,-71.0958716004748","0","0","0",0.00000000000000,0.00000000000000
40 WHITE ST,Somerville ,MA,United States ,"0","29792242","40, White Street, Avon Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.38911485,-71.1176579884418","0","0","0",0.00000000000000,0.00000000000000
88 BROADWAY,Somerville ,MA,United States ,"0","29792028","88, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.387074299999995,-71.08262767724004","0","0","0",0.00000000000000,0.00000000000000
1157 BROADWAY,Somerville ,MA,United States ,"0","4545700388","Broadway Eatery, 1157, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,restaurant,"42.4035022,-71.1274467","0","0","0",0.00000000000000,0.00000000000000
852 BROADWAY,Somerville ,MA,United States ,"0","1114795419","852, Broadway, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.40092693542402,-71.11766656137739","0","0","0",0.00000000000000,0.00000000000000
355 BROADWAY,Somerville ,MA,United States ,"0","29937349","355, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.39391275,-71.09528699962239","0","0","0",0.00000000000000,0.00000000000000
78 BROADWAY,Somerville ,MA,United States ,"0","156991946","Bairos Liquors, 78, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,alcohol,"42.38693275,-71.08195951717747","0","0","0",0.00000000000000,0.00000000000000
78 BROADWAY,Somerville ,MA,United States ,"0","156991946","Bairos Liquors, 78, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,alcohol,"42.38693275,-71.08195951717747","0","0","0",0.00000000000000,0.00000000000000
74 BROADWAY,Somerville ,MA,United States ,"0","29936286","74;76, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.386838749999995,-71.08169646536828","0","0","0",0.00000000000000,0.00000000000000
1147 BROADWAY,Somerville ,MA,United States ,"0","302110862","1147, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.40327818181818,-71.12699075757575","0","0","0",0.00000000000000,0.00000000000000
594 SOMERVILLE AVE,Somerville ,MA,United States ,"0","355792803","594 Somerville Ave, Somerville Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",highway,bus_stop,"42.383778,-71.109215","0","0","0",0.00000000000000,0.00000000000000
154 CEDAR ST,Somerville ,MA,United States ,"0","1113048937","154, Cedar Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.393647,-71.111464","0","0","0",0.00000000000000,0.00000000000000
362 MEDFORD ST,Somerville ,MA,United States ,"0","29939603","362, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38910385,-71.09739117529762","0","0","0",0.00000000000000,0.00000000000000
30 CHESTER ST,Somerville ,MA,United States ,"0","29934804","30, Chester Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.39404545,-71.1234049","0","0","0",0.00000000000000,0.00000000000000
118 PROSPECT ST,Somerville ,MA,United States ,"0","11779580","118, Prospect Street, Somerville, Somerset County, New Jersey, 08876, United States",place,house,"40.57715662549399,-74.62325387550506","0","0","0",0.00000000000000,0.00000000000000
118 BROADWAY,Somerville ,MA,United States ,"0","29519849","Khoury's State Spa, 118,120, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,convenience,"42.38756345,-71.08417643018173","0","0","0",0.00000000000000,0.00000000000000
109 HIGHLAND AVE,Somerville ,MA,United States ,"0","29639847","109, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,residential,"42.3874842,-71.09970642458649","0","0","0",0.00000000000000,0.00000000000000
311 SOMERVILLE AVE,Somerville ,MA,United States ,"0","345423138","311, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.380483,-71.0974448","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
2 UNION SQ,Somerville ,MA,United States ,"0","11134295488","2, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",tourism,artwork,"42.3792143,-71.095142","0","0","0",0.00000000000000,0.00000000000000
282 BEACON ST,Somerville ,MA,United States ,"0","29516352","R.F. O'Sullivan & Son, 282, Beacon Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,restaurant,"42.38301145,-71.11245227897513","0","0","0",0.00000000000000,0.00000000000000
299 MEDFORD ST,Somerville ,MA,United States ,"0","200089626","299;301, Medford Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.386109250000004,-71.09382662297386","0","0","0",0.00000000000000,0.00000000000000
123 HIGHLAND AVE,Somerville ,MA,United States ,"0","29727429","123, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.387737,-71.1004867954043","0","0","0",0.00000000000000,0.00000000000000
299 BROADWAY,Somerville ,MA,United States ,"0","29642236","299, Broadway, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.3922904,-71.09184976591543","0","0","0",0.00000000000000,0.00000000000000
594 SOMERVILLE AVE,Somerville ,MA,United States ,"0","355792803","594 Somerville Ave, Somerville Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",highway,bus_stop,"42.383778,-71.109215","0","0","0",0.00000000000000,0.00000000000000
577 SOMERVILLE AVE,Somerville ,MA,United States ,"0","29516331","577, Somerville Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38385565,-71.10846188256957","0","0","0",0.00000000000000,0.00000000000000
288 BROADWAY,Somerville ,MA,United States ,"0","29820246","284;286;288, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.3916828,-71.09225049221519","0","0","0",0.00000000000000,0.00000000000000
155 HIGHLAND AVE,Somerville ,MA,United States ,"0","8605381","155, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.388541,-71.103533","0","0","0",0.00000000000000,0.00000000000000
52 BROADWAY,Somerville ,MA,United States ,"0","29742379","52;52A, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.38640145,-71.0802843487912","0","0","0",0.00000000000000,0.00000000000000
474 BROADWAY,Somerville ,MA,United States ,"0","29796197","474, Broadway, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3967162,-71.10314235","0","0","0",0.00000000000000,0.00000000000000
692 BROADWAY,Somerville ,MA,United States ,"0","1117304104","692, Broadway, Ball Square, Somerville, Middlesex County, Massachusetts, 02145, United States",place,house,"42.398807612244894,-71.10921595918367","0","0","0",0.00000000000000,0.00000000000000
692 BROADWAY,Somerville ,MA,United States ,"0","1117304104","692, Broadway, Ball Square, Somerville, Middlesex County, Massachusetts, 02145, United States",place,house,"42.398807612244894,-71.10921595918367","0","0","0",0.00000000000000,0.00000000000000
38 CROSS ST,Somerville ,MA,United States ,"0","29940371","38, Cross Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38687135,-71.08682773223566","0","0","0",0.00000000000000,0.00000000000000
8 CRAIGIE ST,Somerville ,MA,United States ,"0","29724443","8;10, Craigie Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38568945,-71.11285381521145","0","0","0",0.00000000000000,0.00000000000000
8 WHITFIELD RD,Somerville ,MA,United States ,"0","29727552","Milne House, 8-10, Whitfield Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4056205,-71.12328075","0","0","0",0.00000000000000,0.00000000000000
163 WASHINGTON ST,Somerville ,MA,United States ,"0","29741787","161;163;165;169;171;175;179, Washington Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38019745,-71.09043953408377","0","0","0",0.00000000000000,0.00000000000000
52 MCGRATH HWY,Somerville ,MA,United States ,"0","9429793","52, McGrath Highway, Brickbottom, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.374620167678884,-71.08360640558305","0","0","0",0.00000000000000,0.00000000000000
373 HIGHLAND AVE,Somerville ,MA,United States ,"0","29514245","373, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.395503649999995,-71.11853981921224","0","0","0",0.00000000000000,0.00000000000000
156 HIGHLAND AVE,Somerville ,MA,United States ,"0","8605381","156, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.3884405,-71.10377225","0","0","0",0.00000000000000,0.00000000000000
25 MANSFIELD ST,Somerville ,MA,United States ,"0","29819862","25, Mansfield Street, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",building,yes,"42.3784615,-71.090115394545","0","0","0",0.00000000000000,0.00000000000000
74 CRAIGIE ST,Somerville ,MA,United States ,"0","29683407","74, Craigie Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.388128300000005,-71.111264","0","0","0",0.00000000000000,0.00000000000000
384 SOMERVILLE AVE,Somerville ,MA,United States ,"0","524588879","384, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.38128534349218,-71.10010414758601","0","0","0",0.00000000000000,0.00000000000000
106 PROFESSORS ROW,Somerville ,MA,United States ,"0","29826111","106, Professors Row, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4069188,-71.12302576842313","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
22 MCGRATH HWY,Somerville ,MA,United States ,"0","4987379337","Ever Fitness, 14;20;22, McGrath Highway, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",leisure,fitness_centre,"42.3745525,-71.0855502","0","0","0",0.00000000000000,0.00000000000000
674 BROADWAY,Somerville ,MA,United States ,"0","29589780","674;682;688;690;694, Broadway, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.39961155,-71.11189175057041","0","0","0",0.00000000000000,0.00000000000000
384 SOMERVILLE AVE,Somerville ,MA,United States ,"0","524588879","384, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.38128534349218,-71.10010414758601","0","0","0",0.00000000000000,0.00000000000000
1153 BROADWAY,Somerville ,MA,United States ,"0","4545700989","True Bistro, 1153, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,restaurant,"42.4034431,-71.1273221","0","0","0",0.00000000000000,0.00000000000000
90 CURTIS ST,Somerville ,MA,United States ,"0","29820290","90;92;94, Curtis Street, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40648,-71.12539597383591","0","0","0",0.00000000000000,0.00000000000000
100 PACKARD AVE,Somerville ,MA,United States ,"0","29533561","100, Packard Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40554805,-71.12301224394963","0","0","0",0.00000000000000,0.00000000000000
125 POWDER HOUSE BLVD,Somerville ,MA,United States ,"0","29824805","Chandler House, 125, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40474535,-71.12354165606344","0","0","0",0.00000000000000,0.00000000000000
147 SUMMER ST,Somerville ,MA,United States ,"0","29514794","147, Summer Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3861572,-71.10480341888623","0","0","0",0.00000000000000,0.00000000000000
474 BROADWAY,Somerville ,MA,United States ,"0","29796197","474, Broadway, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3967162,-71.10314235","0","0","0",0.00000000000000,0.00000000000000
221 PEARL ST,Somerville ,MA,United States ,"0","29716289","219;221;223;225, Pearl Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3876834,-71.09369755118911","0","0","0",0.00000000000000,0.00000000000000
124 PROFESSORS ROW,Somerville ,MA,United States ,"0","29744889","Tufts University Health Service, 124, Professors Row, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,clinic,"42.4071025,-71.12373684282963","0","0","0",0.00000000000000,0.00000000000000
118 CONCORD AVE,Somerville ,MA,United States ,"0","29795091","108;108-120;110;112;114;116;118, Concord Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37519845,-71.10214331857986","0","0","0",0.00000000000000,0.00000000000000
25 MANSFIELD ST,Somerville ,MA,United States ,"0","29819862","25, Mansfield Street, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",building,yes,"42.3784615,-71.090115394545","0","0","0",0.00000000000000,0.00000000000000
1147 BROADWAY,Somerville ,MA,United States ,"0","302110862","1147, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.40327818181818,-71.12699075757575","0","0","0",0.00000000000000,0.00000000000000
216 MCGRATH HWY,Somerville ,MA,United States ,"0","29934585","216, McGrath Highway, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",building,industrial,"42.37671625,-71.08877415990932","0","0","0",0.00000000000000,0.00000000000000
50 MIDDLESEX AVE,Somerville ,MA,United States ,"0","29739175","50, Middlesex Avenue, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3923094,-71.08327954966983","0","0","0",0.00000000000000,0.00000000000000
13 HIGHLAND AVE,Somerville ,MA,United States ,"0","29934225","13, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,semidetached_house,"42.384914699999996,-71.09310583825723","0","0","0",0.00000000000000,0.00000000000000
236 ELM ST,Somerville ,MA,United States ,"0","6093964495","Kong Dog, 236, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,cafe,"42.3948298,-71.121685","0","0","0",0.00000000000000,0.00000000000000
282 BEACON ST,Somerville ,MA,United States ,"0","29516352","R.F. O'Sullivan & Son, 282, Beacon Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,restaurant,"42.38301145,-71.11245227897513","0","0","0",0.00000000000000,0.00000000000000
365 BROADWAY,Somerville ,MA,United States ,"0","29787514","365, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3940902,-71.09555229162956","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
40 WHITE ST,Somerville ,MA,United States ,"0","29792242","40, White Street, Avon Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.38911485,-71.1176579884418","0","0","0",0.00000000000000,0.00000000000000
290 SOMERVILLE AVE,Somerville ,MA,United States ,"0","2622538171","Ebi Sushi, 290, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,restaurant,"42.379091,-71.0946305","0","0","0",0.00000000000000,0.00000000000000
355 BROADWAY,Somerville ,MA,United States ,"0","29937349","355, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.39391275,-71.09528699962239","0","0","0",0.00000000000000,0.00000000000000
594 SOMERVILLE AVE,Somerville ,MA,United States ,"0","355792803","594 Somerville Ave, Somerville Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",highway,bus_stop,"42.383778,-71.109215","0","0","0",0.00000000000000,0.00000000000000
62 HIGHLAND AVE,Somerville ,MA,United States ,"0","29642461","62, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3855958,-71.0958716004748","0","0","0",0.00000000000000,0.00000000000000
78 BROADWAY,Somerville ,MA,United States ,"0","156991946","Bairos Liquors, 78, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,alcohol,"42.38693275,-71.08195951717747","0","0","0",0.00000000000000,0.00000000000000
118 BROADWAY,Somerville ,MA,United States ,"0","29519849","Khoury's State Spa, 118,120, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,convenience,"42.38756345,-71.08417643018173","0","0","0",0.00000000000000,0.00000000000000
299 BROADWAY,Somerville ,MA,United States ,"0","29642236","299, Broadway, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.3922904,-71.09184976591543","0","0","0",0.00000000000000,0.00000000000000
123 HIGHLAND AVE,Somerville ,MA,United States ,"0","29727429","123, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.387737,-71.1004867954043","0","0","0",0.00000000000000,0.00000000000000
288 BROADWAY,Somerville ,MA,United States ,"0","29820246","284;286;288, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.3916828,-71.09225049221519","0","0","0",0.00000000000000,0.00000000000000
154 CEDAR ST,Somerville ,MA,United States ,"0","1113048937","154, Cedar Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.393647,-71.111464","0","0","0",0.00000000000000,0.00000000000000
1147 BROADWAY,Somerville ,MA,United States ,"0","302110862","1147, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.40327818181818,-71.12699075757575","0","0","0",0.00000000000000,0.00000000000000
123 HIGHLAND AVE,Somerville ,MA,United States ,"0","29727429","123, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.387737,-71.1004867954043","0","0","0",0.00000000000000,0.00000000000000
88 BROADWAY,Somerville ,MA,United States ,"0","29792028","88, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.387074299999995,-71.08262767724004","0","0","0",0.00000000000000,0.00000000000000
8 WHITFIELD RD,Somerville ,MA,United States ,"0","29727552","Milne House, 8-10, Whitfield Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4056205,-71.12328075","0","0","0",0.00000000000000,0.00000000000000
221 PEARL ST,Somerville ,MA,United States ,"0","29716289","219;221;223;225, Pearl Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3876834,-71.09369755118911","0","0","0",0.00000000000000,0.00000000000000
